seed,model,molecule,R2,RMSE,MAE
42,rf,H2O,0.470004677772522,0.0001155965203046,9.764964488567784e-06
42,rf,CO2,0.8856329917907715,0.2860780214312318,0.2113286852836609
42,rf,O2,0.7286433577537537,0.0894017282197175,0.0618037655949592
42,rf,O3,0.7391835451126099,0.0639852280204745,0.0436387509107589
42,rf,CH4,0.930399775505066,0.4820860493082588,0.3683763742446899
42,rf,N2,0.7334321141242981,0.0228099401144898,0.0160687323659658
42,rf,N2O,0.772074818611145,0.0730190693365139,0.0508005507290363
42,rf,CO,0.938676118850708,0.3314713076196745,0.2670769095420837
42,rf,H2,0.7399860620498657,1.2967798129159551,0.945891797542572
42,rf,H2S,0.9345678687095642,0.1015996635740611,0.0797132775187492
42,rf,SO2,0.8970323204994202,0.0358024667971578,0.0238622333854436
42,rf,NH3,1.0,0.0,0.0
42,cnn,H2O,0.999218225479126,4.439638450425112e-06,3.7938676200610644e-07
42,cnn,CO2,0.9998227953910828,0.0112607899056855,0.0072696078568696
42,cnn,O2,0.9989452362060548,0.0055737958632512,0.0038297763094305
42,cnn,O3,0.9991706013679504,0.0036082286350754,0.0017980247503146
42,cnn,CH4,0.9999642372131348,0.0109283420367798,0.0090816095471382
42,cnn,N2,0.99857896566391,0.0016654014068596,0.0010889748809859
42,cnn,N2O,0.9992666244506836,0.0041419793808527,0.0027219662442803
42,cnn,CO,0.9999517798423768,0.0092946451194126,0.0072152405045926
42,cnn,H2,0.9980233311653136,0.1130674663341786,0.0234281010925769
42,cnn,H2S,0.999906837940216,0.0038340644344367,0.0027750022709369
42,cnn,SO2,0.999778926372528,0.001658976162623,0.0011812236625701
42,cnn,NH3,1.0,0.0,0.0
123,rf,H2O,0.4385154843330383,0.0001189810087045,9.092836080526467e-06
123,rf,CO2,0.8872482776641846,0.2840506139268168,0.2109390646219253
123,rf,O2,0.7251332998275757,0.089978081373634,0.0618921741843223
123,rf,O3,0.7520390748977661,0.0623884024292246,0.0425568372011184
123,rf,CH4,0.930978536605835,0.4800775998192592,0.3660938143730163
123,rf,N2,0.7236689329147339,0.0232238957509028,0.0163977053016424
123,rf,N2O,0.7716153860092163,0.07309262900555,0.051298014819622
123,rf,CO,0.9383598566055298,0.3323249751869042,0.268809825181961
123,rf,H2,0.7378197908401489,1.3021704326744277,0.964263916015625
123,rf,H2S,0.9416146874427797,0.0959728827991829,0.0745685994625091
123,rf,SO2,0.8966825604438782,0.0358632218047018,0.0241804290562868
123,rf,NH3,1.0,0.0,0.0
123,cnn,H2O,0.999422252178192,3.816534457266133e-06,8.877887580638345e-08
123,cnn,CO2,0.999815821647644,0.0114808953091752,0.007144124712795
123,cnn,O2,0.9990956783294678,0.0051610297064307,0.0036414682399481
123,cnn,O3,0.9991487860679626,0.0036554117597704,0.0018385628936812
123,cnn,CH4,0.999954640865326,0.0123041681007858,0.0102768363431096
123,cnn,N2,0.998772919178009,0.0015475982656332,0.0010545580880716
123,cnn,N2O,0.999193012714386,0.0043448208699577,0.0029216471593827
123,cnn,CO,0.9999464154243468,0.0097970664993914,0.0075975595973432
123,cnn,H2,0.9979305267333984,0.1156906494109171,0.0217262841761112
123,cnn,H2S,0.999919295310974,0.0035680959548814,0.0025151178706437
123,cnn,SO2,0.9997871518135072,0.0016278478910583,0.0011455476051196
123,cnn,NH3,0.0,5.5941434690911134e-08,4.1018249907764925e-10
456,rf,H2O,0.444144070148468,0.0001183831451719,9.522136679152028e-06
456,rf,CO2,0.8807834386825562,0.292080435287276,0.2162740528583526
456,rf,O2,0.7263005375862122,0.0897868328589352,0.0613732263445854
456,rf,O3,0.7423222064971924,0.0635990648017021,0.0435005500912666
456,rf,CH4,0.9257471561431884,0.4979386155891777,0.3828529715538025
456,rf,N2,0.7098863124847412,0.0237960203903209,0.017097171396017
456,rf,N2O,0.7656540870666504,0.0740404182524095,0.0523382574319839
456,rf,CO,0.9327569007873536,0.3471003170063634,0.2795831561088562
456,rf,H2,0.73557448387146,1.3077345575329893,0.9595152735710144
456,rf,H2S,0.9254085421562196,0.1084779027114954,0.0857820734381675
456,rf,SO2,0.8923532962799072,0.0366068891951469,0.0250610522925853
456,rf,NH3,1.0,0.0,0.0
456,cnn,H2O,0.997506618499756,7.928673715685763e-06,4.708959124855028e-07
456,cnn,CO2,0.9998128414154052,0.011572814528006,0.007722835522145
456,cnn,O2,0.999010682106018,0.0053980663825254,0.0037202844396233
456,cnn,O3,0.9992063045501708,0.0035297564579604,0.0017965557053685
456,cnn,CH4,0.9999802708625792,0.0081147003815821,0.0057010040618479
456,cnn,N2,0.9986612796783448,0.0016164660805009,0.0010898956097662
456,cnn,N2O,0.9992581605911256,0.0041657799745716,0.0027678671758621
456,cnn,CO,0.9999558925628662,0.0088870878653844,0.0068410779349505
456,cnn,H2,0.998052418231964,0.1122311268259026,0.0215639788657426
456,cnn,H2S,0.9999287724494934,0.0033527258489645,0.0022653492633253
456,cnn,SO2,0.9997249841690063,0.0018503941020387,0.0013016904704272
456,cnn,NH3,1.0,0.0,0.0
789,rf,H2O,0.4220045804977417,0.0001207177014377,1.0591713362373412e-05
789,rf,CO2,0.8871476650238037,0.2841773278836477,0.2123318910598755
789,rf,O2,0.7321817278862,0.0888169324696295,0.0617535188794136
789,rf,O3,0.7431210279464722,0.0635004072152807,0.042528711259365
789,rf,CH4,0.9276419281959534,0.4915443941869381,0.3783771693706512
789,rf,N2,0.7219431400299072,0.023296304668034,0.0165368746966123
789,rf,N2O,0.7799579501152039,0.0717452262852561,0.0503862351179122
789,rf,CO,0.9417445063591005,0.3230720948380988,0.2587344944477081
789,rf,H2,0.7497142553329468,1.2722895778407532,0.9382584691047668
789,rf,H2S,0.9457749128341676,0.0924904422155523,0.0716923475265502
789,rf,SO2,0.9001582860946655,0.0352548253713607,0.0240431390702724
789,rf,NH3,1.0,0.0,0.0
789,cnn,H2O,0.9998771548271179,1.7597133646928002e-06,5.360700470191659e-07
789,cnn,CO2,0.9997403025627136,0.013632882662513338,0.009828126057982445
789,cnn,O2,0.9990325570106506,0.005338139318638274,0.0038398378528654575
789,cnn,O3,0.9992828369140625,0.003355205291472666,0.0017238934524357319
789,cnn,CH4,0.9999464154243469,0.013375584162061133,0.010942847467958927
789,cnn,N2,0.998616635799408,0.001643201188035179,0.0010933580342680216
789,cnn,N2O,0.9992137551307678,0.0042886866551712505,0.0028369168285280466
789,cnn,CO,0.9999542832374573,0.009047702400405663,0.007222688756883144
789,cnn,H2,0.9978685975074768,0.11740873037966809,0.020972179248929024
789,cnn,H2S,0.9999072551727295,0.0038250938837709704,0.002814103150740266
789,cnn,SO2,0.9997020363807678,0.0019259180103400808,0.0013440620386973023
789,cnn,NH3,1.0,0.0,0.0
1337,rf,H2O,0.5513073205947876,0.00010636120269666747,9.913143003359437e-06
1337,rf,CO2,0.8828150033950806,0.2895810142030864,0.21360474824905396
1337,rf,O2,0.7237119674682617,0.09021042551377857,0.06128997355699539
1337,rf,O3,0.7462878227233887,0.06310776902601795,0.04253032058477402
1337,rf,CH4,0.9387267231941223,0.4523294469650724,0.34233835339546204
1337,rf,N2,0.710258960723877,0.02378073463754052,0.01666155830025673
1337,rf,N2O,0.77202308177948,0.07302735292200488,0.05045405402779579
1337,rf,CO,0.9410220384597778,0.3250692885155211,0.2596544623374939
1337,rf,H2,0.7518835663795471,1.2667639046706343,0.9137471914291382
1337,rf,H2S,0.9424854516983032,0.09525454744862731,0.0740567073225975
1337,rf,SO2,0.8972622156143188,0.03576247741565338,0.024144837632775307
1337,rf,NH3,1.0,0.0,0.0
1337,cnn,H2O,0.9996663331985474,2.900418119905583e-06,3.4761043821163184e-07
1337,cnn,CO2,0.999746561050415,0.013466984106626754,0.009090408682823181
1337,cnn,O2,0.998900830745697,0.005689978388507608,0.004006161354482174
1337,cnn,O3,0.9991486668586731,0.003655667898354472,0.0019151170272380114
1337,cnn,CH4,0.9999492764472961,0.013010646205155223,0.011330647394061089
1337,cnn,N2,0.9986789226531982,0.001605785928062426,0.001109156641177833
1337,cnn,N2O,0.9992020726203918,0.004320371592373636,0.0028628427535295486
1337,cnn,CO,0.9999403953552246,0.010333052724527583,0.008283606730401516
1337,cnn,H2,0.997948169708252,0.11519590640893206,0.02182234823703766
1337,cnn,H2S,0.9998999238014221,0.003973748828749855,0.0029829395934939384
1337,cnn,SO2,0.9997498393058777,0.001764753450292408,0.001236845855601132
1337,cnn,NH3,1.0,0.0,0.0
