train_loss,val_loss
0.12037621247466258,0.03406787198076966
0.0655789994966874,0.02176954851355604
0.05481301079422647,0.016212454240328522
0.04754979058894144,0.013818817052950141
0.043007406520953376,0.01358030437982531
0.040171509505279604,0.01409581491783742
0.03757332762196866,0.011766217371789359
0.03573464902109265,0.01947482328421326
0.03413732815276368,0.011461712685163303
0.03216538749772557,0.014162974845497838
0.03141041649479745,0.010096396107266667
0.030166897363445726,0.011199240204227226
0.028882256188700276,0.008031974912330668
0.02850063357570891,0.0076907735966867015
0.027755509518807935,0.009086656569633433
0.027186765527601617,0.007679198435958354
0.026709877294123448,0.007171864829837314
0.02594465776659926,0.0071202792491643655
0.025327060833436003,0.008029534715998878
0.02514343349649335,0.005953041323690966
0.02426140579622462,0.006498639563559204
0.024070746400457924,0.006500864002893689
0.02337788361420829,0.005821030073028098
0.0234884124111882,0.0052276482821632456
0.022911733370360142,0.005945558314041425
0.022869701493308293,0.006023044930270282
0.022235465786904784,0.005155538331356741
0.02225674227635432,0.005669710767525499
0.02196595613994906,0.004634760766119886
0.021515561185674183,0.006247804146059739
0.021328533995330058,0.006261202093333967
0.021160894910963724,0.004140980970715323
0.020837690816668596,0.004575274246194029
0.0208139436166682,0.004388939948972836
0.020348745246636702,0.006165048884608412
0.02042737585814318,0.004819988974480219
0.020396147215146623,0.006104712658111126
0.020162431292819537,0.006542924389203069
0.0197276631747866,0.0038876500273103357
0.019636213984082922,0.004342826628176275
0.019244425012665684,0.004113492002029733
0.019286326907300453,0.004113126675327939
0.01904186960309744,0.004106662871856843
0.018790239636627484,0.004093546381680875
0.018831583500801143,0.004688655624506615
0.018579963570640932,0.004074730012085168
0.01859044543849433,0.0041240014019672585
0.018606660202797932,0.004452699831817099
0.018506890789773058,0.004404384458677904
0.01811334410450563,0.003641657343194369
0.01788963766468148,0.004317679148848339
0.01796631968876321,0.004040430095647612
0.01770406339454898,0.0034481775126750432
0.01768030435070052,0.005162246154961727
0.01740361921351901,0.003928777585206654
0.017145269300771475,0.0037987093549341927
0.017310447128755707,0.004255311715026055
0.01723659788906437,0.0037961606871617097
0.016918476451754844,0.004116492861761681
0.016998619194129646,0.0034214052818315
0.01674675816541306,0.003568292391256139
0.016613450943393643,0.004209294173345771
0.0166889292084127,0.003188737265325041
0.01661992549381223,0.0030510833024257615
0.016415588742096303,0.003501857801951388
0.016279277758252237,0.0032707540958278603
0.016241078637368667,0.0028801908459193926
0.01609836875121989,0.0046822249338591615
0.015815932504008718,0.003273577732284383
0.015978254809597945,0.003612638810969969
0.01584329509669872,0.003604345261569946
0.0156562332836439,0.002908413215910876
0.015588321924930619,0.0025590571539316287
0.01537662871113296,0.003370427332958707
0.015360166354594142,0.003165138730458835
0.015344180329638418,0.0032552549652554975
0.015316389251139857,0.00495471045224657
0.015142994809912921,0.002919455247340343
0.015047608903064157,0.0029631501470281873
0.014912231889325903,0.003353601956880221
0.014810078114717512,0.0028676917416954875
0.01497975300156301,0.0030670869273323846
0.014718543932974887,0.0023363462834548885
0.014608235928114109,0.0037184141069570536
0.01461633385927309,0.0025360557941159095
0.014427284203504087,0.002491101782508595
0.01455194808439725,0.0024219982602923947
0.014271062404466664,0.0030448083985116212
0.014409054257147324,0.00242989478192182
0.014240620099351429,0.0021981176668377494
0.014064985314032174,0.0028549834784440775
0.014065670891737884,0.0024971240363334136
0.014022910836654873,0.0022101627985235827
0.013892668068649307,0.0022431298465498033
0.013883095684929103,0.0023060510947459168
0.013664919676319245,0.0021005167534715067
0.01371741480644672,0.0024304338466496237
0.013710107724890456,0.0022573020649693347
0.013758214734460351,0.002000935030800681
0.013656603924518082,0.002514177865739311
0.013542987830799571,0.0024620827830206323
0.013537218174146068,0.0025561792750953024
0.013341652124193132,0.0018937069026412822
0.013348221661789077,0.0020265678894175318
0.013161012201059249,0.0023148753720345677
0.013306231997598152,0.001896018890553825
0.013153227509990815,0.0022216520867540794
0.013202919710238683,0.0019998638832601167
0.013141491152346134,0.0022878303493483253
0.01298474658778461,0.001850844263649916
0.012975899071050678,0.0020883862045343203
0.012887273257435192,0.002052099263966484
0.012894195782252446,0.0020075560346125595
0.012750043916743472,0.0019743372190002633
0.012778704069932485,0.0022082848645626537
0.01282116015952441,0.001816584232804035
0.012606129464500236,0.0018227321531883972
0.012633540986904076,0.001958807821145221
0.01264966096059518,0.0019231148412631404
0.012801239673340101,0.0019473141334169814
0.012727332417831718,0.002201321594146711
0.012532615762049427,0.0018734598190333414
0.012440988038782425,0.0018720919469131098
0.01252185596762577,0.0019498409723402352
0.012476563020544942,0.0018884313548164023
0.012365438913248376,0.0020595372963436347
0.012306692815870733,0.001927044492475288
0.012360925625855198,0.001578440989958503
0.012324255971658614,0.001478493925113912
0.01231084259321338,0.0018151704406726265
0.012309877715386828,0.0019594200220840272
0.012261748115708064,0.0017759527586480623
0.012312688751120446,0.0016571969969538592
0.012198839183501934,0.0015624445921150587
0.012137935050861902,0.0019523518528508884
0.012295978258316693,0.0016434809536002176
0.012223832773276462,0.0017108463572077853
0.01209478276528521,0.001851384754202539
0.012115872790736537,0.0014551353631340848
0.012163746162802669,0.0016391837119715668
0.012223420880631917,0.001775068574514921
0.012086997270961786,0.0018948847142558904
0.012235200374734842,0.0016074019617911789
0.012208992188564643,0.0018011392360072463
0.012068397221305678,0.00170554617650166
0.012210539030726605,0.0015589784346120331
0.012102493449599237,0.0015431215054786172
0.012131242881859503,0.0018403599048734353
0.01214085673836107,0.0020087909822662673
0.012219118692736198,0.0019509319852917424
