n_train,model,molecule,R2,RMSE,MAE,wall_time_s
1000,rf,H2O,0.03923898935317993,0.00015563828523093795,9.755793143995106e-06,1.8430111408233643
1000,rf,CO2,0.7409985065460205,0.430512018677288,0.3204094469547272,1.8430111408233643
1000,rf,O2,0.48197853565216064,0.12352348920890908,0.08110295236110687,1.8430111408233643
1000,rf,O3,0.5523972511291504,0.08382210746793059,0.05412605032324791,1.8430111408233643
1000,rf,CH4,0.8235294818878174,0.767636168326151,0.5941545367240906,1.8430111408233643
1000,rf,N2,0.546621561050415,0.02974751411629897,0.020102033391594887,1.8430111408233643
1000,rf,N2O,0.6117477416992188,0.09530092896124304,0.06573905795812607,1.8430111408233643
1000,rf,CO,0.8564459681510925,0.5071527156312963,0.3959180414676666,1.8430111408233643
1000,rf,H2,0.6171275973320007,1.5736020681164973,1.1606734991073608,1.8430111408233643
1000,rf,H2S,0.8707652688026428,0.14278623990585965,0.10320428013801575,1.8430111408233643
1000,rf,SO2,0.7839402556419373,0.05186202246708602,0.03505990654230118,1.8430111408233643
1000,rf,NH3,1.0,0.0,0.0,1.8430111408233643
1000,mlp,H2O,0.03822368383407593,0.000155720502529498,8.092221833067015e-06,30.9695942401886
1000,mlp,CO2,0.9816134572029114,0.1147055006257985,0.09226839244365692,30.9695942401886
1000,mlp,O2,0.9064121842384338,0.05250314509388732,0.0335206612944603,30.9695942401886
1000,mlp,O3,0.86899733543396,0.045347393408578865,0.024088867008686066,30.9695942401886
1000,mlp,CH4,0.9976859092712402,0.08790366288014825,0.06505615264177322,30.9695942401886
1000,mlp,N2,0.900903582572937,0.013907503674452237,0.008643332868814468,30.9695942401886
1000,mlp,N2O,0.9305525422096252,0.04030586963240957,0.026639223098754883,30.9695942401886
1000,mlp,CO,0.9962789416313171,0.08165153825179443,0.06386357545852661,30.9695942401886
1000,mlp,H2,0.907520592212677,0.7733754605158879,0.30737194418907166,30.9695942401886
1000,mlp,H2S,0.9952515959739685,0.027369785898834417,0.01915787160396576,30.9695942401886
1000,mlp,SO2,0.9815188646316528,0.015167954924847543,0.008510015904903412,30.9695942401886
1000,mlp,NH3,0.0,0.003575145541917001,0.0028238780796527863,30.9695942401886
1000,cnn,H2O,0.014622926712036133,0.000157619515976526,7.556356194982072e-06,99.38526701927185
1000,cnn,CO2,0.9942795634269714,0.06398069753081335,0.033899158239364624,99.38526701927185
1000,cnn,O2,0.9576042294502258,0.03533758478554677,0.01864127814769745,99.38526701927185
1000,cnn,O3,0.9416357278823853,0.03026813414481982,0.013412540778517723,99.38526701927185
1000,cnn,CH4,0.9989582300186157,0.05897932544150642,0.024001801386475563,99.38526701927185
1000,cnn,N2,0.9578830599784851,0.009066685599440974,0.004706474021077156,99.38526701927185
1000,cnn,N2O,0.9748735427856445,0.024244075510230608,0.012767753563821316,99.38526701927185
1000,cnn,CO,0.9983585476875305,0.05423101789670024,0.02288244292140007,99.38526701927185
1000,cnn,H2,0.9404237270355225,0.6207324482621444,0.13708849251270294,99.38526701927185
1000,cnn,H2S,0.9972403049468994,0.020865517411307048,0.009495713748037815,99.38526701927185
1000,cnn,SO2,0.9938134551048279,0.00877580910030753,0.004250519908964634,99.38526701927185
1000,cnn,NH3,0.0,0.0006475570625593824,0.00040582576184533536,99.38526701927185
5000,rf,H2O,0.3696531057357788,0.00012606617686372794,1.1377328519301955e-05,6.101726055145264
5000,rf,CO2,0.8559561967849731,0.32105644408461514,0.23593196272850037,6.101726055145264
5000,rf,O2,0.6883870363235474,0.0958039521403221,0.06538354605436325,6.101726055145264
5000,rf,O3,0.7000020742416382,0.06862325486172954,0.04542309790849686,6.101726055145264
5000,rf,CH4,0.912145733833313,0.5416275860064196,0.41077765822410583,6.101726055145264
5000,rf,N2,0.703073263168335,0.02407381428037278,0.016971910372376442,6.101726055145264
5000,rf,N2O,0.7533215880393982,0.07596362820239931,0.053405195474624634,6.101726055145264
5000,rf,CO,0.9280376434326172,0.35907388594380923,0.28744587302207947,6.101726055145264
5000,rf,H2,0.7204310894012451,1.3446595418347596,0.9657701253890991,6.101726055145264
5000,rf,H2S,0.9310791492462158,0.10427303148817817,0.0805593803524971,6.101726055145264
5000,rf,SO2,0.8801750540733337,0.03862211718205928,0.026060020551085472,6.101726055145264
5000,rf,NH3,1.0,0.0,0.0,6.101726055145264
5000,mlp,H2O,0.8510712385177612,6.127707171875149e-05,1.6311355466314126e-06,251.93286800384521
5000,mlp,CO2,0.9975621104240417,0.041767695749869535,0.02811318263411522,251.93286800384521
5000,mlp,O2,0.9816934466362,0.023220891672922354,0.013935862109065056,251.93286800384521
5000,mlp,O3,0.9799153804779053,0.017755964816070637,0.009244297631084919,251.93286800384521
5000,mlp,CH4,0.9995923638343811,0.036894095409680513,0.01713910698890686,251.93286800384521
5000,mlp,N2,0.9789701700210571,0.006406756233774987,0.003624623641371727,251.93286800384521
5000,mlp,N2O,0.9900407791137695,0.015263469931754762,0.009737146086990833,251.93286800384521
5000,mlp,CO,0.9995213747024536,0.02928423708288243,0.01910359039902687,251.93286800384521
5000,mlp,H2,0.9747304916381836,0.40426491873678017,0.09464965015649796,251.93286800384521
5000,mlp,H2S,0.9987393617630005,0.01410225527883123,0.010426466353237629,251.93286800384521
